period,band,mcc,description,volume_mn,value_cr
2025-01,Medium Transacting Categories,5422,Freezer and locker meat provisioners,93.36,3027.02
2025-01,Medium Transacting Categories,5921,"Package shops beer, wine and liquor",91.97,3928.91
2025-01,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",88.33,3323.28
2025-01,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",82.42,1622.92
2025-01,Medium Transacting Categories,9399,Government services not elsewhere classified,78.26,8306.26
2025-01,Medium Transacting Categories,5691,Mens and womens clothing shops,70.70,9055.62
2025-01,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",70.44,6771.85
2025-01,Medium Transacting Categories,4112,Passenger railways,70.40,3523.29
2025-01,All Other Categories,6211,Securities brokers and dealers,69.67,63749.83
2025-01,All Other Categories,7230,Beauty and barber shops,67.94,1964.33
2025-01,All Other Categories,7622,Electronics repair shops,67.57,2041.08
2025-01,All Other Categories,5732,Electronics shops,67.55,8401.88
2025-01,All Other Categories,5262,Online Marketplaces,64.84,4964.60
2025-01,All Other Categories,5311,Department stores,61.74,4044.30
2025-01,All Other Categories,4121,Taxi-cabs and limousines,58.94,1184.44
2025-01,All Other Categories,5331,Variety stores,57.42,3359.23
2025-01,All Other Categories,5412,Purchase of digital gold,50.93,761.60
2024-12,High Transacting Categories,5411,Groceries and supermarkets,2382.60,56221.19
2024-12,High Transacting Categories,5814,Fast food restaurants,1118.70,13664.52
2024-12,High Transacting Categories,5812,Eating places and restaurants,992.78,16592.06
2024-12,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",800.77,19110.23
2024-12,High Transacting Categories,5541,Service stations (with or without ancillary services),506.46,30717.58
2024-12,High Transacting Categories,5816,Digital Goods: Games,282.52,9272.84
2024-12,High Transacting Categories,5993,Cigar shops and stands,252.00,1561.39
2024-12,High Transacting Categories,5912,Drug stores and pharmacies,241.63,9573.50
2024-12,High Transacting Categories,5462,Bakeries,234.15,3646.54
2024-12,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",151.34,18156.71
2024-12,Medium Transacting Categories,5451,Dairies,136.72,3616.78
2024-12,Medium Transacting Categories,7322,Debt collection agencies,119.33,72498.72
2024-12,Medium Transacting Categories,5921,"Package shops beer, wine and liquor",92.74,4044.77
2024-12,Medium Transacting Categories,5422,Freezer and locker meat provisioners,92.44,2995.46
2024-12,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",92.39,3584.59
2024-12,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",81.77,1606.04
2024-12,Medium Transacting Categories,5691,Mens and womens clothing shops,73.56,9385.21
2024-12,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",72.91,7013.51
2024-12,Medium Transacting Categories,9399,Government services not elsewhere classified,71.05,7717.59
2024-12,Medium Transacting Categories,7622,Electronics repair shops,68.45,2106.12
2024-12,All Other Categories,4112,Passenger railways,67.77,3313.16
2024-12,All Other Categories,7230,Beauty and barber shops,67.70,2042.32
2024-12,All Other Categories,5732,Electronics shops,66.31,8083.42
2024-12,All Other Categories,6211,Securities brokers and dealers,66.00,54436.45
2024-12,All Other Categories,5262,Online Marketplaces,62.42,4848.69
2024-12,All Other Categories,4121,Taxi-cabs and limousines,57.81,1255.48
2024-12,All Other Categories,5311,Department stores,56.98,3985.59
2024-12,All Other Categories,5331,Variety stores,55.45,3261.84
2024-12,All Other Categories,7011,"Lodging hotels, motels and resorts",49.11,3901.93
2024-11,High Transacting Categories,5411,Groceries and supermarkets,2184.81,51777.65
2024-11,High Transacting Categories,5814,Fast food restaurants,1014.92,12425.19
2024-11,High Transacting Categories,5812,Eating places and restaurants,911.05,15303.29
2024-11,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",751.68,17493.22
2024-11,High Transacting Categories,5541,Service stations (with or without ancillary services),489.90,29856.68
2024-11,High Transacting Categories,5816,Digital Goods: Games,279.25,8883.18
2024-11,High Transacting Categories,5912,Drug stores and pharmacies,237.27,9269.28
2024-11,High Transacting Categories,5993,Cigar shops and stands,227.59,1417.14
2024-11,High Transacting Categories,5462,Bakeries,209.03,3135.49
2024-11,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",155.35,19397.02
2024-11,Medium Transacting Categories,5451,Dairies,126.75,3466.95
2024-11,Medium Transacting Categories,7322,Debt collection agencies,107.95,68979.14
2024-11,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",85.15,3241.00
2024-11,Medium Transacting Categories,5921,"Package shops beer, wine and liquor",81.79,3471.46
2024-11,Medium Transacting Categories,5422,Freezer and locker meat provisioners,78.56,2530.09
2024-11,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",76.93,1569.08
2024-11,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",72.91,7343.25
2024-11,Medium Transacting Categories,5691,Mens and womens clothing shops,66.02,8743.58
2024-11,Medium Transacting Categories,4112,Passenger railways,64.80,3343.03
2024-11,Medium Transacting Categories,7622,Electronics repair shops,64.54,2053.90
2024-11,All Other Categories,6211,Securities brokers and dealers,63.94,51931.40
2024-11,All Other Categories,9399,Government services not elsewhere classified,62.60,6623.67
2024-11,All Other Categories,5732,Electronics shops,61.49,8090.52
2024-11,All Other Categories,7230,Beauty and barber shops,61.42,1928.54
2024-11,All Other Categories,5262,Online Marketplaces,56.12,4372.54
2024-11,All Other Categories,5311,Department stores,53.54,3925.50
2024-11,All Other Categories,4121,Taxi-cabs and limousines,53.43,1159.77
2024-11,All Other Categories,5331,Variety stores,52.55,3138.28
2024-11,All Other Categories,7011,"Lodging hotels, motels and resorts",45.23,3536.64
2024-10,High Transacting Categories,5411,Groceries and supermarkets,2366.12,58098.95
2024-10,High Transacting Categories,5814,Fast food restaurants,1075.16,13450.52
2024-10,High Transacting Categories,5812,Eating places and restaurants,968.95,16392.86
2024-10,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",774.98,17955.40
2024-10,High Transacting Categories,5541,Service stations (with or without ancillary services),509.39,29699.46
2024-10,High Transacting Categories,5816,Digital Goods: Games,289.82,9768.65
2024-10,High Transacting Categories,5912,Drug stores and pharmacies,244.70,9422.72
2024-10,High Transacting Categories,5993,Cigar shops and stands,244.04,1546.57
2024-10,High Transacting Categories,5462,Bakeries,221.89,3508.90
2024-10,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",172.12,20277.45
2024-10,Medium Transacting Categories,5451,Dairies,145.96,3766.47
2024-10,Medium Transacting Categories,7322,Debt collection agencies,112.55,73783.87
2024-10,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",91.99,1942.28
2024-10,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",88.83,3390.21
2024-10,Medium Transacting Categories,5137,"Mens, womens and childrens uniforms and commercial clothing",82.89,8489.14
2024-10,Medium Transacting Categories,5921,"Package shops beer, wine and liquor",79.52,3420.09
2024-10,Medium Transacting Categories,5262,Online Marketplaces,78.15,6563.69
2024-10,Medium Transacting Categories,6211,Securities brokers and dealers,76.88,79010.69
2024-10,Medium Transacting Categories,5422,Freezer and locker meat provisioners,75.84,2517.10
2024-10,Medium Transacting Categories,7622,Electronics repair shops,71.59,2308.65
2024-10,All Other Categories,5732,Electronics shops,71.42,9720.10
2024-10,All Other Categories,9399,Government services not elsewhere classified,70.72,6799.26
2024-10,All Other Categories,5691,Mens and womens clothing shops,70.56,9410.68
2024-10,All Other Categories,7230,Beauty and barber shops,68.95,2114.97
2024-10,All Other Categories,4112,Passenger railways,64.45,3329.04
2024-10,All Other Categories,5311,Department stores,57.40,4272.42
2024-10,All Other Categories,5331,Variety stores,56.50,3221.42
2024-10,All Other Categories,4121,Taxi-cabs and limousines,54.29,1173.04
2024-10,All Other Categories,5651,Family clothing shops,49.29,4809.43
2024-09,High Transacting Categories,5411,Groceries and supermarkets,2132.28,48518.73
2024-09,High Transacting Categories,5814,Fast food restaurants,991.40,11636.71
2024-09,High Transacting Categories,5812,Eating places and restaurants,886.69,14244.65
2024-09,High Transacting Categories,4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",760.54,17282.79
2024-09,High Transacting Categories,5541,Service stations (with or without ancillary services),461.46,25724.69
2024-09,High Transacting Categories,5816,Digital Goods: Games,264.47,9245.22
2024-09,High Transacting Categories,5912,Drug stores and pharmacies,235.82,9065.51
2024-09,High Transacting Categories,5462,Bakeries,207.96,2975.85
2024-09,High Transacting Categories,4900,"Utilities electric, gas, water and sanitary",162.57,19466.30
2024-09,High Transacting Categories,5993,Cigar shops and stands,134.64,860.02
2024-09,Medium Transacting Categories,5451,Dairies,134.47,3303.52
2024-09,Medium Transacting Categories,5311,Department stores,133.73,3834.56
2024-09,Medium Transacting Categories,7322,Debt collection agencies,103.64,66775.70
2024-09,Medium Transacting Categories,5813,"Drinking places (alcoholic beverages) bars, taverns, night-clubs, cocktail lounges and discothques",87.80,3295.43
2024-09,Medium Transacting Categories,5441,"Candy, nut and confectionery shops",80.97,1444.78
2024-09,Medium Transacting Categories,5422,Freezer and locker meat provisioners,75.00,2353.11
2024-09,Medium Transacting Categories,5921,"Package shops beer, wine and liquor",73.79,3070.56
2024-09,Medium Transacting Categories,5262,Online Marketplaces,67.03,6127.50
